S/N,REGION,DISTRICT,CONSTITUENCY,CANDIDATE,PARTY,COMMENT
76,SOUTH BUGANDA,BUKOMANSIMBI,BUKOMANSIMBI NORTH,NANDAGIRE CHRISTINE NDIWALANA,NUP,NEW
77,SOUTH BUGANDA,BUKOMANSIMBI,BUKOMANSIMBI SOUTH,KAYEMBA GODFREY SSOLO,NUP,NEW
79,SOUTH BUGANDA,KALUNGU,KALUNGU EAST,KATABAAZI FRANCIS KATONGOLE,IND/NUP,NEW
81,SOUTH BUGANDA,KALANGALA,WOMAN MP,NAKIMULE HELLEN,NUP,NEW
82,SOUTH BUGANDA,KALANGALA,KYAMUSWA,KABUUSU MOSE,FDC,NEW
84,WEST BUGANDA,MPIGI,WOMAN MP,NAMBOOZE TEDDY,NUP,NEW
85,WEST BUGANDA,MPIGI,MAWOKOTA NORTH,KIYAGA HILLARY,NUP,NEW
86,WEST BUGANDA,MPIGI,MAWOKOTA SOUTH,YUSUF NSIBAMBI,FDC,NEW
89,WEST BUGANDA,GOMBA,GOMBA EAST,SSAZI GODFREY,NUP,NEW
90,WEST BUGANDA,BUTAMBALA,WOMAN MP,NALULE ASHA AISHA KABANDA,NUP,NEW
92,WEST BUGANDA,MUBENDE,WOMAN MP,NAKAZIBWE HOPE GRANIA,NRM,NEW
93,WEST BUGANDA,MUBENDE,MUBENDE MUNICIPALITY,LUBEGA BASHIR SEMPA,NRM,NEW
94,WEST BUGANDA,MUBENDE,KASAMBYA,KABANDA DAVID,NRM,NEW
95,WEST BUGANDA,MUBENDE,BUWEKULA SOUTH,MUSEVENI NDOOLI WILLIAM,IND/NRM,NEW
96,WEST BUGANDA,MUBENDE,BUWEKULA,MBABAZI PASCAL,NRM,NEW
97,WEST BUGANDA,KASSANDA,WOMAN MP,KALULE FLAVIA NABAGABE,NUP,NEW
99,WEST BUGANDA,KASSANDA,KASSANDA SOUTH,KABUYE FRANK,NUP,NEW
101,WEST BUGANDA,MITYANA,WOMAN MP,BAGALA JOYCE NTWATWA,NUP,NEW
102,WEST BUGANDA,MITYANA,MITYANA NORTH,SEMATIKO KALEIDE,NUP,NEW
103,WEST BUGANDA,MITYANA,MITYANA SOUTH,LUMU RICHARD,DP,NEW
106,EAST ANKOLE,KIRUHURA,WOMAN MP,TWINOBUSINGYE JOVANICE,NRM,NEW
107,EAST ANKOLE,KIRUHURA,KASHONGI,HERBERT TAYEBWA,NRM,NEW
108,EAST ANKOLE,KIRUHURA,NYABUSHOZI,WILSON KAJWENGYE,NRM,NEW
109,EAST ANKOLE,KAZO,WOMAN MP,JENIFER MUHEESI ABAHO,NRM,NEW
111,EAST ANKOLE,IBANDA,WOMAN MP,JANE BAINOMUGISHA KABAJUNGU,NRM,NEW
112,EAST ANKOLE,IBANDA,IBANDA NORTH,KYOOMA XAVIER,NRM,NEW
